A supplementary material to the paper

Investigation of the B^1\Pi state in NaCs by polarisation labelling spectroscopy 

Authors: A.Grochola, P.Kowalczyk (c), W.Jastrzebski
(c) Corresponding author: e-mail address pfkowal@fuw.edu.pl

++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

Table 1.  Experimental energies of rovibrational levels in the B^1\Pi state (Eexp)
and the corresponding values calculated from the IPA potential (Ecalc), in cm-1.
Diff are the differences Eexp-Ecalc. In the fit of the potential energy curve
of the B^1\Pi state only the levels with flag=1 were used.
	  
    N   v   J      Eexp            Ecalc       Diff   flag
 =========================================================
    1  20  13    16226.62097    16227.06160   -.44063  1
    2  21  13    16255.75097    16256.15422   -.40325  1
    3  22  13    16283.85097    16284.12611   -.27514  1
    4  23  13    16310.88097    16310.96982   -.08885  1
    5  24  13    16336.72097    16336.69202    .02895  1
    6  25  13    16361.43097    16361.29813    .13284  1
    7  26  13    16384.97097    16384.76848    .20249  1
    8  27  13    16407.15097    16407.03879    .11218  1
    9  28  13    16428.19097    16428.01464    .17633  1
   10  29  13    16448.10097    16447.67129    .42968  1
   11  30  13    16466.92097    16466.16387    .75710  6
   12  31  13    16484.88097    16483.75447   1.12650  6
   13  33  13    16516.43097    16516.69161   -.26064  1
   14  34  13    16532.27097    16532.03834    .23263  1
   15  20  15    16228.26295    16228.71203   -.44908  1
   16  21  15    16257.43295    16257.76480   -.33185  1
   17  22  15    16285.45295    16285.69664   -.24369  1
   18  23  15    16312.36295    16312.50032   -.13737  1
   19  24  15    16338.21295    16338.18261    .03034  1
   20  25  15    16362.87295    16362.74859    .12436  1
   21  26  15    16386.31295    16386.17767    .13528  1
   22  27  15    16408.48295    16408.40429    .07866  1
   23  28  15    16429.43295    16429.33393    .09902  1
   24  29  15    16449.34295    16448.94492    .39803  1
   25  30  15    16468.18295    16467.39733    .78562  6
   26  31  15    16486.11295    16484.95329   1.15966  6
   27  33  15    16517.57857    16517.82415   -.24558  1
   28  34  15    16533.30857    16533.13669    .17188  1
   29  35  15    16547.81857    16547.66005    .15852  1
   30  36  15    16561.41857    16561.32643    .09214  1
   31  37  15    16574.27857    16574.10984    .16873  1
   32  38  15    16586.41857    16586.04472    .37385  1
   33  39  15    16597.08857    16597.20682   -.11825  1
   34  40  15    16607.84857    16607.68188    .16669  1
   35  41  15    16617.65857    16617.51159    .14698  1
   36  42  15    16626.74857    16626.66372    .08485  1
   37  43  15    16635.09857    16635.08071    .01786  1
   38  18  16    16167.85470    16168.26501   -.41031  1
   39  19  16    16198.95470    16199.48798   -.53328  6
   40  20  16    16229.18470    16229.62230   -.43760  1
   41  21  16    16258.32470    16258.65307   -.32837  1
   42  22  16    16286.33470    16286.56281   -.22811  1
   43  26  16    16387.08470    16386.95474    .12996  1
   44  27  16    16409.19470    16409.15722    .03748  1
   45  28  16    16430.14470    16430.06132    .08338  1
   46  29  16    16450.04470    16449.64713    .39757  1
   47  30  16    16468.86470    16468.07743    .78727  6
   48  34  16    16533.94470    16533.74221    .20249  1
   49  35  16    16548.40470    16548.24551    .15919  1
   50  36  16    16561.99470    16561.89062    .10408  1
   51   1  19    15466.41609    15466.39597    .02012  1
   52   2  19    15518.21609    15518.15207    .06402  1
   53   3  19    15568.65609    15568.62720    .02889  1
   54   4  19    15617.87609    15617.86334    .01275  1
   55   5  19    15665.68609    15665.82106   -.13497  1
   56   6  19    15712.03609    15712.34897   -.31288  1
   57   7  19    15757.13609    15757.36434   -.22825  1
   58   8  19    15800.71609    15800.92424   -.20815  1
   59   9  19    15843.13609    15843.13611   -.00002  1
   60  10  19    15884.03609    15884.06997   -.03388  1
   61  11  19    15923.76609    15923.80546   -.03937  1
   62  12  19    15962.35609    15962.38889   -.03280  1
   63  13  19    15999.77609    15999.86672   -.09063  1
   64  14  19    16036.21609    16036.27753   -.06144  1
   65  15  19    16070.29609    16071.64583  -1.34974  6
   66  16  19    16105.79609    16105.97636   -.18027  1
   67  17  19    16139.04609    16139.25963   -.21354  1
   68  18  19    16171.20609    16171.48375   -.27766  1
   69  21  19    16261.30800    16261.64932   -.34132  1
   70  22  19    16289.27800    16289.48438   -.20638  1
   71  23  19    16316.13800    16316.19134   -.05334  1
   72  24  19    16341.82800    16341.77718    .05082  1
   73  25  19    16366.40800    16366.24609    .16191  1
   74  26  19    16389.64800    16389.57523    .07277  1
   75  27  19    16411.70800    16411.69597    .01203  1
   76  28  19    16432.58800    16432.51370    .07430  1
   77  29  19    16452.39800    16452.01458    .38342  1
   78  30  19    16471.15800    16470.37054    .78746  6
   79  31  19    16489.04800    16487.84319   1.20481  6
   80  33  19    16520.39800    16520.55373   -.15573  1
   81  34  19    16535.97800    16535.78346    .19454  1
   82  35  19    16550.33800    16550.21875    .11925  1
   83  36  19    16563.86800    16563.79185    .07615  1
   84  37  19    16576.70800    16576.48040    .22760  1
   85  38  19    16587.23060    16588.32403  -1.09343  6
   86  39  19    16599.34800    16599.39992   -.05192  1
   87  40  19    16609.91800    16609.79401    .12399  1
   88  41  19    16619.68800    16619.54107    .14693  1
   89  42  19    16628.70800    16628.60390    .10410  1
   90  43  19    16637.04800    16636.92363    .12437  1
   91   0  20    15415.01498    15415.13964   -.12466  1
   92   1  20    15468.02498    15468.12429   -.09931  1
   93  17  20    16140.27498    16140.47875   -.20377  1
   94  18  20    16172.37498    16172.67529   -.30031  1
   95  19  20    16203.48498    16203.79662   -.31164  1
   96  20  20    16233.49498    16233.82948   -.33450  1
   97  21  20    16262.50498    16262.75838   -.25340  1
   98  22  20    16290.37498    16290.56577   -.19079  1
   99  23  20    16317.20498    16317.24506   -.04008  1
  100  24  20    16342.89498    16342.80331    .09167  1
  101  25  20    16367.35498    16367.24443    .11055  1
  102  26  20    16390.59498    16390.54494    .05004  1
  103  27  20    16412.63498    16412.63530   -.00032  1
  104  28  20    16433.50498    16433.42097    .08401  1
  105  29  20    16453.23498    16452.89043    .34455  1
  106  30  20    16471.99498    16471.21895    .77603  6
  107  31  20    16489.85498    16488.66787   1.18711  6
  108  33  20    16521.22498    16521.33253   -.10755  1
  109  34  20    16536.67498    16536.53852    .13646  1
  110  35  20    16551.05498    16550.94851    .10647  1
  111  36  20    16564.58498    16564.49486    .09012  1
  112  37  20    16577.29498    16577.15628    .13870  1
  113  40  20    16610.51498    16610.39608    .11890  1
  114  41  20    16620.31498    16620.11939    .19559  1
  115  42  20    16629.31498    16629.15650    .15848  1
  116  43  20    16637.50498    16637.44822    .05676  1
  117  45  20    16651.92498    16651.76480    .16018  1
  118  46  20    16658.13498    16657.97895    .15603  1
  119  47  20    16663.68498    16663.61792    .06706  1
  120  48  20    16668.62498    16668.56994    .05504  1
  121  49  20    16672.81498    16672.77183    .04315  1
  122  50  20    16676.45498    16676.32371    .13127  1
  123   2  21    15521.64780    15521.64436    .00344  1
  124   3  21    15572.06780    15572.06345    .00435  1
  125   4  21    15621.21780    15621.23794   -.02014  1
  126   5  21    15669.02780    15669.12719   -.09939  1
  127   6  21    15715.61780    15715.58027    .03753  1
  128   7  21    15760.51780    15760.51770    .00010  1
  129   8  21    15803.98780    15804.00065   -.01285  1
  130   9  21    15846.25780    15846.13767    .12013  1
  131  10  21    15886.98059    15886.99979   -.01920  1
  132  11  21    15926.66059    15926.66674   -.00615  1
  133  12  21    15965.22059    15965.18450    .03609  1
  134  13  21    16002.40059    16002.59944   -.19885  1
  135  16  21    16108.31059    16108.53217   -.22158  1
  136  17  21    16141.56059    16141.75849   -.19790  1
  137  18  21    16173.65059    16173.92605   -.27546  1
  138  19  21    16204.79059    16205.01852   -.22793  1
  139  20  21    16234.80059    16235.02256   -.22197  1
  140  21  21    16263.71059    16263.92251   -.21192  1
  141  22  21    16291.57059    16291.70081   -.13022  1
  142  23  21    16318.32059    16318.35105   -.03046  1
  143  24  21    16344.00059    16343.88032    .12027  1
  144  25  21    16368.38059    16368.29225    .08834  1
  145  26  21    16391.66059    16391.56265    .09794  1
  146  27  21    16413.64059    16413.62106    .01953  1
  147  28  21    16434.46059    16434.37301    .08758  1
  148  29  21    16454.15059    16453.80950    .34109  1
  149  30  21    16472.85059    16472.10930    .74129  6
  150  31  21    16490.70059    16489.53330   1.16729  6
  151  33  21    16522.05059    16522.14975   -.09916  1
  152  34  21    16537.47059    16537.33079    .13980  1
  153  35  21    16551.79059    16551.71415    .07644  1
  154  36  21    16565.27059    16565.23236    .03823  1
  155  37  21    16578.04059    16577.86526    .17533  1
  156  38  21    16588.70059    16589.65548   -.95489  6
  157  39  21    16600.63059    16600.68097   -.05038  1
  158  40  21    16611.13059    16611.02758    .10301  1
  159  41  21    16620.86059    16620.72588    .13471  1
  160  42  21    16629.81059    16629.73589    .07470  1
  161  43  21    16638.07059    16637.99808    .07251  1
  162  44  21    16645.27059    16645.47967   -.20908  1
  163  45  21    16652.40059    16652.25730    .14329  1
  164  46  21    16658.59059    16658.44615    .14444  1
  165  47  21    16664.09059    16664.05678    .03381  1
