++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
+   Transitions from the X1Sigma+ state of NaCs to the B1P and the perturbed [B1P, b3P, c3S+]
+   complex levels, induced by a dye laser (DCM dye) in a single-mode regime.
+   
+
+   J. Zaharova, O. Docenko, M. Tamanis, R. Ferber
+   Laser Center, Department of Physics, University of Latvia, 
+   Rainis Boulevard 19, LV 1586 Riga, Latvia
+
+   A. Pashov
+   Department of Physics, Sofia University, James Bourchier Boulevard 5, 1164
+   Sofia, Bulgaria
+
+   H. Knoeckel and E.Tiemann
+   Institut fuer Quantenoptik, Universitaet Hannover, Welfengarten 1,
+   30167 Hannover, Germany
+
+  October 2004, October 2005, Hannover
+  
+
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++


Notations: 

v', J', v", J":   vibrational and rotational quantum numbers of the excited B1P state level
		  and the absorbing X1S+ level, respectively.

		  In some few cases v' is given approximately because upper state level is strongly perturbed,
		  (v' interval of B1P state vibrational levels is given).

		  

Laser:  dye laser frequency in cm-1.
m:	with marker 3 show transitions  to the perturbed [B1P, b3P, c3S+] complex levels.
*       with marker * show very weakly transitions


v'	J'	v"	J"	Laser		m
_________________________________________________
0	80	3	80	14966.70	
0	76	3	77	14966.70	
1	126	2	126	14966.70	
10	65	8	66	14966.70	
2	81	4	81	14966.83	
4	80	5	80	14966.83	
1	56	4	56	14967.59	
3	123	3	123	14967.59	
4	23	6	22	14967.59	
4	19	6	19	14967.59	
1	102	3	101	14968.34	
4	76	5	77	14968.34	
6	127	4	127	14968.34	
2	112	3	112	14968.60	
8	8	8	8	14968.60	
1	45	4	46	14977.94	
3	52	5	52	14977.94	
1	91	3	92	14978.23	
4	72	5	73	14978.23	
4	72	5	72	14986.37	
4	143	2	144	14986.37	
10	138	4	139	14986.46	
3	115	3	116	14986.77	
0	62	3	62	15002.02	
1	26	4	26	15002.02	
7	127	4	127	15002.02	
10	53	8	53	15002.02	
0	66	3	65	15002.43	
5	83	5	83	15002.43	
1	29	4	28	15003.04	
12	45	9	45	15003.04	
2	98	3	99	15003.70	
2	64	4	64	15003.70	
11	168	2	168	15003.70	
0	99	1	99	15108.61	
4	55	4	56	15108.61	
5	129	2	129	15108.61	
2	82	2	83	15144.89	
4	109	2	110	15144.89	
4	107	1	107	15259.43	
6	100	2	101	15259.43	
7	88	3	88	15259.43	
10	61	5	61	15259.43	
12	55	6	55	15259.43	
2	82	1	81	15259.45	
5	118	1	117	15266.83	
6	123	1	123	15266.83	
4	67	2	67	15282.85	
2	62	1	63	15287.86	
9	16	5	17	15287.86	
9	30	5	29	15287.86	*
10	48	5	49	15287.86	
10	105	3	106	15287.86	
1	33	1	32	15290.00	
3	37	2	36	15290.00	
9	150	0	150	15290.00	
9	13	5	14	15290.00	
0	70	0	69	15290.50	3
6	118	1	118	15290.50	
7	27	4	27	15290.50	
10	107	3	107	15290.50	
12	103	4	102	15290.50	
2	36	1	37	15330.07	
10	98	3	98	15330.07	
11	49	5	49	15330.07	
0	28	0	28	15337.26	3
3	65	1	65	15337.26	
4	31	2	32	15337.26	
5	100	1	99	15337.26	
10	133	1	133	15337.26	
4	80	1	81	15337.75	
4	34	2	34	15337.75	
5	66	2	65	15337.75	
0-1	51	0	51	15337.75	3
4	39	2	39	15345.29	3
6	129	0	128	15345.29	
4	78	1	77	15361.16	
3	48	1	49	15362.41	
4	105	0	105	15362.41	
3	54	1	53	15364.37	
8	65	3	65	15364.37	
11	133	1	133	15364.37	
1-2	52	0	52	15379.56	3
1	30	0	30	15386.99	
4	67	1	66	15386.99	
5	106	0	107	15386.99	
5	109	0	109	15386.99	
1-2	49	0	49	15386.99	3
3	77	0	78	15397.42	
1-2	47	0	46	15397.42	3
6	55	2	55	15398.40	
7	7	3	8	15398.40	
12	121	2	121	15398.40	
1-2	44	0	44	15398.40	3
2-3	74	0	74	15398.40	3
2	55	0	55	15405.25	
3	5	1	4	15405.25	
3	74	0	75	15405.25	
5	72	1	71	15420.37	
15	150	0	150	15420.37	
2	11	0	11	15450.66	
4	15	1	15	15450.66	
4-5	94	0	93	15450.66	3
3-4	43	0	43	15488.60	3
4-5	79	0	79	15488.60	3
7	8	2	8	15495.92	
11	62	3	61	15495.92	
13	101	2	102	15495.92	
4-5	73	0	72	15495.92	3
7	101	0	101	15495.97	
4	61	0	60	15496.74	
5	15	1	16	15496.74	
4	46	0	47	15511.28	
6	47	1	47	15511.98	3
11	82	2	83	15511.98	3
3-4	28	0	29	15511.98	3
4	48	0	48	15513.46	
4-5	27	0	28	15513.46	3
3-4	28	0	27	15518.56	3
5-6	73	0	73	15528.54	3
5	64	0	64	15528.61	
11	80	2	80	15528.61	
12	128	0	129	15528.61	
8	78	1	77	15528.74	3
10	20	3	20	15528.74	3
13	37	4	36	15528.74	
4	26	0	27	15537.98	
9	49	2	49	15537.98	3
11	99	1	100	15537.98	
