+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
+   Table with differences between experimental and calculated energies for fited levels
+
+   J. Zaharova, O. Docenko, M. Tamanis, R. Ferber
+   Laser Center, Department of Physics, University of Latvia, 
+   Rainis Boulevard 19, LV 1586 Riga, Latvia
+
+   A. Pashov
+   Department of Physics, Sofia University, James Bourchier Boulevard 5, 1164
+   Sofia, Bulgaria
+
+   H. Knoeckel and E.Tiemann
+   Institut fuer Quantenoptik, Universitaet Hannover, Welfengarten 1,
+   30167 Hannover, Germany
+
+  October 2004, October 2005, Hannover
+  
+
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++


Notations: 

v',J':		  vibrational and rotational quantum numbers of the excited B1P state level 

Ecalc, Diff 	experimental energy, calculated energy and 
			differences between experimental and calculated 
			energies of the excited B1P state level

par:	  	for f levels -  0, for e levels - 1


iso:            An integer i. In the final fit only transitions with  
                i=5,8,10 were used.

		  


v'	J'	Ecalc		Diff		par	iso
===================================================================					
0	58	15545.40941	0.0033		0	10
0	59	15550.48825	-0.00274	0	10
0	60	15555.64975	-0.00198	0	10
0	61	15560.89375	7.00E-05	0	10
0	62	15566.22007	-0.00353	0	10
0	63	15571.62852	-0.00528	0	10
0	64	15577.11891	0.0065		0	10
0	65	15582.69107	-0.00765	0	10
0	66	15588.34479	0.00519		0	10
0	67	15594.07989	-0.00325	0	10
0	68	15599.89617	-0.00192	0	10
0	69	15605.79342	0.00153		0	10
0	70	15611.77144	-0.00601	0	10
0	71	15617.83003	-0.00914	0	10
0	72	15623.96897	0.00345		0	10
0	73	15630.18805	-0.00181	0	10
0	74	15636.48705	0.01135		0	10
0	75	15642.86575	0.00716		0	10
0	76	15649.32392	-0.01186	0	10
0	77	15655.86133	0.00453		0	10
0	78	15662.47777	0.00608		0	10
0	79	15669.17298	0.00375		0	10
0	80	15675.94673	-0.00126	0	10
0	81	15682.79877	0.00857		0	10
0	82	15689.72887	-1.70E-04	0	10
0	83	15696.73678	0.00312		0	10
0	84	15703.82223	0.0029		0	10
0	85	15710.98497	-0.0055		0	10
0	86	15718.22474	-7.40E-04	0	10
0	87	15725.54128	-0.00556	0	10
0	88	15732.93431	8.10E-04	0	10
0	89	15740.40358	-0.00562	0	10
0	90	15747.94879	-0.00277	0	10
0	91	15755.56967	0.00866		0	10
0	92	15763.26594	0.00128		0	10
0	93	15771.03731	-0.00108	0	10
0	94	15778.88348	0.01103		0	10
0	95	15786.80416	0.00633		0	10
