Table IV
The resulting deperturbed (diabatic) potential energy curves of the singlet A1Sigma+ 
state U_A(r) and triplet b3Pi(Omega=0,1,2) sub-states U_b0(r), U_b1(r), U_b2(r) 
as well as spin-orbit splitting A_01(r), A_12(r) and V_Ab0(r) functions.
Energies - in cm-1, internuclear distance in Angstroms.
=======================================================================================
     r       U_A       U_b0       U_b1        U_b2        A_01        A_12      V_Ab0
---------------------------------------------------------------------------------------
  Angstroms                                         cm-1
=======================================================================================
  2.300607  33839.671  32544.748  32714.188  32865.567    169.440    151.379    166.017
  2.308939  33475.503  31752.009  31921.224  32072.404    169.216    151.180    165.734
  2.317154  33122.979  31007.461  31176.446  31327.424    168.985    150.978    165.464
  2.325256  32781.529  30307.170  30475.920  30626.694    168.750    150.774    165.207
  2.333250  32450.618  29647.592  29816.102  29966.669    168.510    150.567    164.962
  2.341138  32129.744  29025.530  29193.795  29344.154    168.265    150.359    164.727
  2.348924  31818.439  28438.093  28606.110  28756.259    168.016    150.150    164.502
  2.356611  31516.263  27882.663  28050.427  28200.365    167.764    149.938    164.286
  2.364201  31222.801  27356.863  27524.371  27674.097    167.508    149.726    164.078
  2.371698  30937.666  26858.534  27025.783  27175.295    167.249    149.512    163.878
  2.379105  30660.490  26385.707  26552.694  26701.992    166.988    149.298    163.686
  2.386423  30390.929  25936.589  26103.312  26252.394    166.723    149.082    163.500
  2.393655  30128.658  25509.539  25675.996  25824.862    166.456    148.866    163.321
  2.400803  29873.371  25103.059  25269.247  25417.896    166.188    148.650    163.147
  2.407871  29624.778  24715.773  24881.690  25030.123    165.917    148.433    162.979
  2.414859  29382.604  24346.421  24512.065  24660.280    165.644    148.215    162.816
  2.421771  29146.593  23993.841  24159.211  24307.209    165.370    147.997    162.657
  2.428607  28916.497  23656.969  23822.063  23969.843    165.095    147.780    162.503
  2.435371  28692.086  23334.820  23499.638  23647.200    164.818    147.562    162.352
  2.442063  28473.139  23026.488  23191.028  23338.372    164.540    147.344    162.205
  2.448686  28259.447  22731.135  22895.397  23042.522    164.261    147.126    162.062
  2.455241  28050.813  22447.986  22611.968  22758.876    163.982    146.908    161.922
  2.461730  27847.048  22176.324  22340.025  22486.716    163.702    146.691    161.784
  2.468154  27647.973  21915.482  22078.903  22225.377    163.421    146.473    161.650
  2.474515  27453.418  21664.845  21827.985  21974.241    163.140    146.256    161.517
  2.480815  27263.221  21423.838  21586.696  21732.736    162.858    146.040    161.387
  2.487055  27077.228  21191.929  21354.505  21500.329    162.576    145.824    161.260
  2.493235  26895.291  20968.620  21130.914  21276.522    162.294    145.608    161.134
  2.499359  26717.272  20753.449  20915.461  21060.853    162.012    145.393    161.009
  2.505426  26543.036  20545.984  20707.714  20852.892    161.730    145.178    160.887
  2.511438  26372.455  20345.822  20507.270  20652.234    161.447    144.964    160.766
  2.517396  26205.409  20152.588  20313.753  20458.503    161.165    144.750    160.646
  2.523302  26041.779  19965.927  20126.811  20271.348    160.883    144.538    160.528
  2.529156  25881.456  19785.512  19946.114  20090.439    160.602    144.325    160.411
  2.534960  25724.332  19611.032  19771.352  19915.466    160.320    144.114    160.294
  2.540714  25570.307  19442.198  19602.238  19746.140    160.039    143.903    160.179
  2.546420  25419.281  19278.739  19438.497  19582.190    159.759    143.693    160.065
  2.552078  25271.163  19120.398  19279.877  19423.360    159.478    143.483    159.951
  2.557690  25125.862  18966.936  19126.135  19269.409    159.199    143.275    159.838
